Object kind,Source reference,Company,Location,Meter,Point,Unit,Interval minutes,Installed point ID,Installed meter ID,Installed gateway ID,Installed node ID,Status,Evidence
Point,ch_rcu_cedar_row_b_sewer_kgal_monthly,Cedar Row Apartments,Cedar Row B,Cedar Row B Municipal Water,Derived Sewer Volume,kgal,,,,,,Not entered,
Point,ch_ntp_science_center_chw_ton_hours_hourly,Northlake Thermal Plant,Chilled Water / Applied Science Center,Applied Science Chilled Water BTU Meter,Chilled Water Ton-Hours,ton_hours,60,,,,,Not entered,
Point,ch_ntp_science_center_chw_tons_hourly,Northlake Thermal Plant,Chilled Water / Applied Science Center,Applied Science Chilled Water BTU Meter,Chilled Water Tons,tons,60,,,,,Not entered,
Point,ch_ntp_science_center_steam_klb_monthly,Northlake Thermal Plant,Steam / Applied Science Center,Applied Science Steam Allocation,Steam klb,klb,,,,,,Not entered,
Point,ch_ntp_admin_hall_steam_klb_monthly,Northlake Thermal Plant,Steam / Admin Hall,Admin Hall Steam Allocation,Steam klb,klb,,,,,,Not entered,
Point,ch_ntp_library_steam_klb_monthly,Northlake Thermal Plant,Steam / Main Library,Main Library Steam Allocation,Steam klb,klb,,,,,,Not entered,
Point,ch_ntp_student_center_steam_klb_monthly,Northlake Thermal Plant,Steam / Student Center,Student Center Steam Allocation,Steam klb,klb,,,,,,Not entered,
Point,ch_modbus_ntp_chiller_kw_5m,Northlake Thermal Plant,Plant Electric / Northlake Central Plant,Central Plant Chiller Controller,Chiller Demand kW 5m,kW,5,,,,,Not entered,
Point,eem_ntp_chiller_enable_status,Northlake Thermal Plant,Plant Electric / Northlake Central Plant,Central Plant Chiller Controller,Chiller Enable Status,state,5,,,,,Not entered,
Point,ch_weather_ksac_temp_f_hourly,Northlake University,Sacramento Weather Reference,KSAC Sacramento Executive Airport,KSAC Outside Air Temperature,degF,60,,,,,Not entered,
Weather related point,weather_ksac.HDD_F_daily,Northlake University,Sacramento Weather Reference,KSAC Sacramento Executive Airport,HDD_F_daily,Degree days (F),1440,,,,,Not entered,
Weather related point,weather_ksac.CDD_F_daily,Northlake University,Sacramento Weather Reference,KSAC Sacramento Executive Airport,CDD_F_daily,Degree days (F),1440,,,,,Not entered,
Point,ch_weather_ksac_rh_hourly,Northlake University,Sacramento Weather Reference,KSAC Sacramento Executive Airport,KSAC Relative Humidity,pct,60,,,,,Not entered,
Point,ch_weather_ksac_wind_mph_hourly,Northlake University,Sacramento Weather Reference,KSAC Sacramento Executive Airport,KSAC Wind Speed,mph,60,,,,,Not entered,
Point,ch_weather_ksmf_temp_f_hourly,Northlake University,Sacramento Weather Reference,KSMF Sacramento International Airport,KSMF Outside Air Temperature,degF,60,,,,,Not entered,
Weather related point,weather_ksmf.HDD_F_daily,Northlake University,Sacramento Weather Reference,KSMF Sacramento International Airport,HDD_F_daily,Degree days (F),1440,,,,,Not entered,
Weather related point,weather_ksmf.CDD_F_daily,Northlake University,Sacramento Weather Reference,KSMF Sacramento International Airport,CDD_F_daily,Degree days (F),1440,,,,,Not entered,
Point,ch_weather_ksmf_forecast_temp_f_hourly,Northlake University,Sacramento Weather Reference,KSMF Sacramento International Airport,KSMF Forecast Temperature,degF,60,,,,,Not entered,
Baseline point,bl_nlu_science_electric_kwh_15m,Northlake University,Applied Science Center,Applied Science Electric Interval,Applied Science Electric kWh Baseline,kWh,15,,,,,Not entered,
Baseline point,bl_nlu_student_demand_kw_15m,Northlake University,Student Center,Student Center Electric Interval,Student Center Demand kW Baseline,kW,15,,,,,Not entered,
Baseline point,bl_ntp_science_chw_ton_hours_hourly,Northlake Thermal Plant,Chilled Water / Applied Science Center,Applied Science Chilled Water BTU Meter,Applied Science Chilled Water Ton-Hours Baseline,ton_hours,60,,,,,Not entered,
Aggregate point,agg_nlu_campus_electric_kwh_15m,Northlake University,Campus Operations / Northlake Main Campus,,Campus Interval Electric kWh Total,kWh,15,,,,,Not entered,
Aggregate point,agg_nlu_campus_electric_kw_15m,Northlake University,Campus Operations / Northlake Main Campus,,Campus Coincident Electric kW,kW,15,,,,,Not entered,
Aggregate point,agg_nlu_campus_solar_generation_kwh_15m,Northlake University,Campus Operations / Northlake Main Campus,,Campus PV Generated kWh,kWh,15,,,,,Not entered,
Aggregate point,agg_nlu_science_net_electric_kwh_15m,Northlake University,Campus Operations / Northlake Main Campus / Applied Science Center,,Applied Science Net Electric kWh,kWh,15,,,,,Not entered,
