Object kind,Source reference,Company,Location,Meter,Point,Unit,Interval minutes,Measure Type,Reading Type,Archive Interval,Index,How Created,Meter Number,Provider Meter Number,Multiplier,Utility Provider,Bill Cycle,Billing Account,Installed point ID,Installed meter ID,Installed gateway ID,Installed node ID,Status,Evidence
Meter,rcu_irrigation_north_quad,Northlake University,Campus Grounds,Campus Grounds Irrigation North Quad,,,,Water,,,,Enter,SYN-RCU-M-0060009,RCU-DEV-0060009,,River City Utilities,1,SYN-RCU-A-0030009,,,,,Not entered,
Meter,rcu_irrigation_south_fields,Northlake University,Campus Grounds,Campus Grounds Irrigation South Fields,,,,Water,,,,Enter,SYN-RCU-M-0060010,RCU-DEV-0060010,,River City Utilities,1,SYN-RCU-A-0030009,,,,,Not entered,
Meter,rcu_irrigation_athletics,Northlake University,Campus Grounds,Campus Grounds Irrigation Athletics,,,,Water,,,,Enter,SYN-RCU-M-0060011,RCU-DEV-0060011,,River City Utilities,1,SYN-RCU-A-0030009,,,,,Not entered,
Meter,rcu_admin_hall_fire_service,Northlake University,Admin Hall,Admin Hall Fire Service,,,,Water,,,,Enter,SYN-RCU-M-0060012,RCU-DEV-0060012,,River City Utilities,1,SYN-RCU-A-0030010,,,,,Not entered,
Meter,rcu_science_center_fire_service,Northlake University,Science Center,Science Center Fire Service,,,,Water,,,,Enter,SYN-RCU-M-0060013,RCU-DEV-0060013,,River City Utilities,1,SYN-RCU-A-0030011,,,,,Not entered,
Meter,rcu_lakeview_hall_fire_service,Northlake University,Lakeview Residence Hall,Lakeview Hall Fire Service,,,,Water,,,,Enter,SYN-RCU-M-0060014,RCU-DEV-0060014,,River City Utilities,1,SYN-RCU-A-0030012,,,,,Not entered,
Meter,rcu_cedar_row_a_water,Cedar Row Apartments,Cedar Row A,Cedar Row A Water Master,,,,Water,,,,Enter,SYN-RCU-M-0060003,RCU-DEV-0060003,,River City Utilities,2,SYN-RCU-A-0030003,,,,,Not entered,
Point,ch_fig_cedar_row_a_water_kgal_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Water Master,Delivered kgal 60m,kgal,60,Water,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,rcu_cedar_row_b_water,Cedar Row Apartments,Cedar Row B,Cedar Row B Water Master,,,,Water,,,,Enter,SYN-RCU-M-0060004,RCU-DEV-0060004,,River City Utilities,2,SYN-RCU-A-0030004,,,,,Not entered,
Point,ch_rcu_cedar_row_b_water_register,Cedar Row Apartments,Cedar Row B,Cedar Row B Water Master,Register Reading,Reading,43200,Water,Accumulator,,,"Enter, then capture the generated usage and rate-of-change points",,,,,,,,,,,Not entered,
Point,ch_rcu_cedar_row_b_water_kgal_route,Cedar Row Apartments,Cedar Row B,Cedar Row B Water Master,Route Usage kgal,kgal,43200,Water,AccumulatorDelta,,,Generated by EEM with its register point,,,,,,,,,,,Not entered,
Meter,rcu_cedar_row_a_fire_service,Cedar Row Apartments,Cedar Row A,Cedar Row A Fire Service,,,,Water,,,,Enter,SYN-RCU-M-0060015,RCU-DEV-0060015,,River City Utilities,2,SYN-RCU-A-0030013,,,,,Not entered,
Meter,rcu_cedar_row_b_fire_service,Cedar Row Apartments,Cedar Row B,Cedar Row B Fire Service,,,,Water,,,,Enter,SYN-RCU-M-0060016,RCU-DEV-0060016,,River City Utilities,2,SYN-RCU-A-0030014,,,,,Not entered,
Meter,rcu_cedar_row_common_house_water,Cedar Row Apartments,Cedar Row Common House,Common House Domestic Water,,,,Water,,,,Enter,SYN-RCU-M-0060017,RCU-DEV-0060017,,River City Utilities,2,SYN-RCU-A-0030015,,,,,Not entered,
Meter,rcu_cedar_row_irrigation,Cedar Row Apartments,Cedar Row Carport and Grounds,Cedar Row Landscape Irrigation,,,,Water,,,,Enter,SYN-RCU-M-0060018,RCU-DEV-0060018,,River City Utilities,2,SYN-RCU-A-0030016,,,,,Not entered,
Meter,rcu_central_plant_makeup_water,Northlake Thermal Plant,Central Plant,Central Plant Makeup Water,,,,Water,,,,Enter,SYN-RCU-M-0060019,RCU-DEV-0060019,,River City Utilities,1,SYN-RCU-A-0030017,,,,,Not entered,
Meter,ntp_science_center_chilled_water,Northlake University,Science Center,Science Center Chilled Water,,,,Chilled Water,,,,Enter,SYN-NTP-M-0070001,,,Northlake Thermal Plant,1,SYN-NTP-C-0000001,,,,,Not entered,
Point,ch_ntp_science_center_chw_ton_hours_hourly,Northlake University,Science Center,Science Center Chilled Water,Delivered Ton-Hours 60m,Ton-Hours,60,Chilled Water,Analog,60,,Enter,,,,,,,,,,,Not entered,
Point,ch_ntp_science_center_chw_tons_hourly,Northlake University,Science Center,Science Center Chilled Water,Demand Tons 60m,Tons,60,Chilled Water,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,ntp_science_center_steam,Northlake University,Science Center,Science Center Steam,,,,Steam,,,,Enter,SYN-NTP-M-0070101,,,Northlake Thermal Plant,1,SYN-NTP-C-0000001,,,,,Not entered,
Meter,ntp_admin_hall_steam,Northlake University,Admin Hall,Admin Hall Steam,,,,Steam,,,,Enter,SYN-NTP-M-0070002,,,Northlake Thermal Plant,1,SYN-NTP-C-0000002,,,,,Not entered,
Meter,ntp_library_steam,Northlake University,Library,Library Steam,,,,Steam,,,,Enter,SYN-NTP-M-0070003,,,Northlake Thermal Plant,1,SYN-NTP-C-0000003,,,,,Not entered,
Meter,ntp_student_center_steam,Northlake University,Student Center,Student Center Steam,,,,Steam,,,,Enter,SYN-NTP-M-0070004,,,Northlake Thermal Plant,1,SYN-NTP-C-0000004,,,,,Not entered,
Meter,ntp_lakeview_hall_steam,Northlake University,Lakeview Residence Hall,Lakeview Hall Steam,,,,Steam,,,,Enter,SYN-NTP-M-0070005,,,Northlake Thermal Plant,1,SYN-NTP-C-0000005,,,,,Not entered,
Meter,ntp_recreation_center_chilled_water,Northlake University,Recreation and Aquatics Center,Recreation Center Chilled Water,,,,Chilled Water,,,,Enter,SYN-NTP-M-0070006,,,Northlake Thermal Plant,1,SYN-NTP-C-0000006,,,,,Not entered,
Point,ch_ntp_recreation_center_chw_ton_hours_hourly,Northlake University,Recreation and Aquatics Center,Recreation Center Chilled Water,Delivered Ton-Hours 60m,Ton-Hours,60,Chilled Water,Analog,60,,Enter,,,,,,,,,,,Not entered,
Point,ch_ntp_recreation_center_chw_tons_hourly,Northlake University,Recreation and Aquatics Center,Recreation Center Chilled Water,Demand Tons 60m,Tons,60,Chilled Water,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,ntp_recreation_center_steam,Northlake University,Recreation and Aquatics Center,Recreation Center Steam,,,,Steam,,,,Enter,SYN-NTP-M-0070106,,,Northlake Thermal Plant,1,SYN-NTP-C-0000006,,,,,Not entered,
Meter,hos_science_center_array,Northlake University,Science Center,Science Center PV Array,,,,Solar Generation,,,,Enter,SYN-HOS-M-0080001,,,Helios Onsite Solar,1,SYN-HOS-P-0000001,,,,,Not entered,
Point,ch_hos_science_center_gen_kwh_15m,Northlake University,Science Center,Science Center PV Array,Generated kWh 15m,kWh,15,Solar Generation,Analog,15,,Enter,,,,,,,,,,,Not entered,
Point,ch_hos_science_center_export_kwh_15m,Northlake University,Science Center,Science Center PV Array,Exported kWh 15m,kWh,15,Solar Generation,Analog,15,,Enter,,,,,,,,,,,Not entered,
Point,ch_hos_science_center_gen_kw_15m,Northlake University,Science Center,Science Center PV Array,Generated kW 15m,kW,15,Solar Generation,Analog,15,,Enter,,,,,,,,,,,Not entered,
Meter,hos_student_center_array,Northlake University,Student Center,Student Center PV Array,,,,Solar Generation,,,,Enter,SYN-HOS-M-0080002,,,Helios Onsite Solar,1,SYN-HOS-P-0000002,,,,,Not entered,
Point,ch_hos_student_center_gen_kwh_15m,Northlake University,Student Center,Student Center PV Array,Generated kWh 15m,kWh,15,Solar Generation,Analog,15,,Enter,,,,,,,,,,,Not entered,
Point,ch_hos_student_center_export_kwh_15m,Northlake University,Student Center,Student Center PV Array,Exported kWh 15m,kWh,15,Solar Generation,Analog,15,,Enter,,,,,,,,,,,Not entered,
Point,ch_hos_student_center_gen_kw_15m,Northlake University,Student Center,Student Center PV Array,Generated kW 15m,kW,15,Solar Generation,Analog,15,,Enter,,,,,,,,,,,Not entered,
Meter,hos_cedar_row_carport,Cedar Row Apartments,Cedar Row Carport and Grounds,Cedar Row Solar Carport,,,,Solar Generation,,,,Enter,SYN-HOS-M-0080003,,,Helios Onsite Solar,1,SYN-HOS-P-0000003,,,,,Not entered,
Point,ch_hos_cedar_row_carport_gen_kwh_15m,Cedar Row Apartments,Cedar Row Carport and Grounds,Cedar Row Solar Carport,Generated kWh 15m,kWh,15,Solar Generation,Analog,15,,Enter,,,,,,,,,,,Not entered,
Point,ch_hos_cedar_row_carport_export_kwh_15m,Cedar Row Apartments,Cedar Row Carport and Grounds,Cedar Row Solar Carport,Exported kWh 15m,kWh,15,Solar Generation,Analog,15,,Enter,,,,,,,,,,,Not entered,
Meter,science_center_environmental_sensors,Northlake University,Science Center,Science Center Lab Environment,,,,Weather,,,,Enter,SCIENCE-CENTER-ENVIRONMENTAL-SENSORS,,,Northlake owned,,,,,,,Not entered,
Point,ch_spinwave_science_lab_temp_f_15m,Northlake University,Science Center,Science Center Lab Environment,Lab Air Temperature,degF,15,Temperature,Analog,15,,Enter,,,,,,,,,,,Not entered,
Point,ch_spinwave_science_lab_rh_15m,Northlake University,Science Center,Science Center Lab Environment,Lab Relative Humidity,pct,15,Weather,Analog,15,,Enter,,,,,,,,,,,Not entered,
Meter,library_historian_electric_interval,Northlake University,Library,Library Electric Historian,,,,Electric,,,,Enter,LIBRARY-HISTORIAN-ELECTRIC-INTERVAL,,,Northlake owned,,,,,,,Not entered,
Point,ch_odbc_library_electric_kwh_15m,Northlake University,Library,Library Electric Historian,Historian Delivered kWh 15m,kWh,15,Electric,Analog,15,,Enter,,,,,,,,,,,Not entered,
Meter,student_center_kitchen_deduct_water,Northlake University,Student Center,Student Center Kitchen Sewer Deduct,,,,Water,,,,Enter,SYN-DED-W-SC01,,,Northlake owned,,,,,,,Not entered,
Point,ch_student_center_kitchen_deduct_register,Northlake University,Student Center,Student Center Kitchen Sewer Deduct,Register Reading,Reading,43200,Water,Accumulator,,,"Enter, then capture the generated usage and rate-of-change points",,,,,,,,,,,Not entered,
Point,ch_student_center_kitchen_deduct_kgal_monthly,Northlake University,Student Center,Student Center Kitchen Sewer Deduct,Monthly Usage kgal,kgal,43200,Water,AccumulatorDelta,,,Generated by EEM with its register point,,,,,,,,,,,Not entered,
Meter,fake_gateway_smoke_meter,Northlake University,Student Center,Student Center Fake Gateway Smoke,,,,Electric,,,,Enter,FAKE-GATEWAY-SMOKE-METER,,,Northlake owned,,,,,,,Not entered,
Point,ch_fake_gateway_smoke_kwh_15m,Northlake University,Student Center,Student Center Fake Gateway Smoke,Fake Gateway Smoke kWh 15m,kWh,15,Electric,Analog,15,,Enter,,,,,,,,,,,Not entered,
Meter,lakeview_hall_laundry_electric,Northlake University,Lakeview Residence Hall,Lakeview Hall Laundry Electric,,,,Electric,,,,Enter,SYN-SUB-E-LV01,,,Northlake owned,,,,,,,Not entered,
Point,ch_lakeview_hall_laundry_kwh_60m,Northlake University,Lakeview Residence Hall,Lakeview Hall Laundry Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,recreation_center_pool_fill_water,Northlake University,Recreation and Aquatics Center,Recreation Center Pool Fill Deduct,,,,Water,,,,Enter,SYN-DED-W-RC01,,,Northlake owned,,,,,,,Not entered,
Point,ch_recreation_center_pool_fill_register,Northlake University,Recreation and Aquatics Center,Recreation Center Pool Fill Deduct,Register Reading,Reading,43200,Water,Accumulator,,,"Enter, then capture the generated usage and rate-of-change points",,,,,,,,,,,Not entered,
Point,ch_recreation_center_pool_fill_kgal_monthly,Northlake University,Recreation and Aquatics Center,Recreation Center Pool Fill Deduct,Monthly Usage kgal,kgal,43200,Water,AccumulatorDelta,,,Generated by EEM with its register point,,,,,,,,,,,Not entered,
Meter,parking_structure_ev_chargers,Northlake University,Parking Structure,Parking Structure EV Chargers,,,,Electric,,,,Enter,SYN-SUB-E-PS01,,,Northlake owned,,,,,,,Not entered,
Point,ch_parking_structure_ev_kwh_60m,Northlake University,Parking Structure,Parking Structure EV Chargers,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_101_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 101 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A101,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_101_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 101 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_102_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 102 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A102,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_102_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 102 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_103_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 103 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A103,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_103_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 103 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_104_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 104 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A104,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_104_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 104 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_105_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 105 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A105,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_105_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 105 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_106_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 106 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A106,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_106_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 106 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_107_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 107 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A107,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_107_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 107 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_108_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 108 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A108,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_108_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 108 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_109_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 109 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A109,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_109_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 109 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_110_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 110 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A110,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_110_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 110 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_111_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 111 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A111,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_111_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 111 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_112_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 112 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A112,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_112_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 112 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_113_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 113 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A113,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_113_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 113 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
